City,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
nikolskoye,59.7,42.8,81,90,17.9
saskylakh,71.97,-8.23,64,56,5.37
maragogi,-9.01,78.76,87,92,10.51
bakel,14.9,87.99,27,32,12.08
san patricio,-26.98,79.21,90,100,5.37
tuatapere,-46.13,45.19,100,92,19.24
mataura,-46.19,45.42,100,88,17.0
hobart,-42.88,51.8,71,75,4.7
college,64.86,-0.3,84,1,5.26
tura,25.52,55.68,83,0,1.34
anandpur sahib,31.23,50.41,50,76,4.59
komsomolskiy,67.55,20.67,89,92,13.65
tiksi,71.64,-10.66,72,0,6.38
ponta do sol,-20.63,78.94,54,44,10.18
kieta,-6.22,78.94,100,68,4.14
salalah,17.01,78.8,74,0,3.36
busselton,-33.64,61.89,100,64,13.42
bodden town,19.28,84.2,83,20,11.41
luganville,-15.51,77.73,100,0,10.96
belmonte,40.36,55.0,87,92,10.85
cape town,-33.93,62.6,59,20,24.16
culfa,38.95,42.8,76,40,2.24
ostrovnoy,68.05,34.17,97,92,32.66
hamilton,32.3,68.0,88,90,9.17
ilulissat,69.22,21.2,85,40,19.46
albany,42.65,40.98,60,90,9.17
tilichiki,60.47,-24.7,100,24,2.8
deputatskiy,69.3,-22.99,32,0,2.8
bubaque,11.28,84.2,54,0,3.36
new norfolk,-42.78,51.8,71,75,4.7
lavrentiya,65.58,32.73,100,76,19.46
morant bay,17.88,87.8,58,75,8.05
rudnya,50.8,7.84,53,0,2.91
punta arenas,-53.16,55.4,35,0,20.8
ushuaia,-54.81,50.0,39,40,5.82
lebu,8.96,44.74,91,8,3.47
hami,42.84,16.66,76,0,7.61
khani,41.96,46.4,93,75,4.7
kavaratti,10.57,79.12,100,88,13.98
kalabo,-15.0,79.66,34,80,4.14
berlevag,70.86,37.4,64,75,16.11
nanortalik,60.14,32.41,94,0,34.11
venice,27.1,76.59,44,1,8.05
taksimo,56.36,-9.49,60,44,2.57
taos,36.41,45.01,28,1,2.91
zhigansk,66.77,-21.1,62,20,2.35
bluff,-23.58,72.87,77,64,8.95
katsuura,33.93,49.06,100,0,6.04
rikitea,-23.12,76.29,99,0,12.19
yellandu,17.59,72.82,95,80,3.24
bambous virieux,-20.34,73.4,88,40,2.24
vaini,15.34,68.77,93,20,1.68
longyearbyen,78.22,32.0,99,75,24.16
tasiilaq,65.61,39.2,86,90,40.26
vila,45.18,41.92,75,0,2.24
ribeira grande,38.52,59.0,54,40,6.93
avarua,-21.21,78.8,83,40,10.29
northam,51.04,45.68,81,0,8.05
kaitangata,-46.28,52.17,81,20,17.34
kishapu,-3.61,65.35,94,36,3.91
ahar,38.48,22.24,72,8,1.79
norman wells,65.28,6.8,84,75,13.87
coxim,-18.5,80.56,89,76,8.28
half moon bay,37.46,56.61,76,1,5.82
hithadhoo,-0.6,81.6,100,0,12.3
port alfred,-33.59,64.23,89,64,6.93
lahat,-3.78,71.2,98,32,4.36
kodiak,39.95,37.04,81,90,21.92
souillac,45.6,45.41,81,90,10.29
pangnirtung,66.15,-0.41,64,20,6.93
tsumeb,-19.25,71.97,20,0,8.16
kapaa,22.08,76.41,66,90,18.34
carnarvon,-30.97,63.15,23,12,6.71
tuktoyaktuk,69.44,-2.21,77,75,18.34
along,28.17,52.12,100,100,1.68
lasa,34.92,63.77,63,20,11.41
san rafael,-34.61,74.8,18,0,12.41
nuuk,64.17,24.8,79,75,18.34
moerai,-22.43,76.83,98,88,19.91
lososina,49.0,24.22,100,0,10.4
namatanai,-3.66,77.73,100,88,9.51
khor,47.88,8.56,80,44,8.95
cam ranh,11.92,74.8,100,92,10.63
pevek,69.7,6.72,95,68,4.47
puerto narino,-3.77,89.6,70,75,3.36
ust-kut,56.78,-3.23,72,44,2.57
lorengau,-2.02,82.81,100,44,6.15
angoram,-4.06,76.02,100,56,2.24
codrington,-28.95,62.34,100,88,6.38
torrington,42.06,20.19,84,90,8.05
cherskiy,68.75,-17.59,77,44,3.69
saint george,39.45,50.0,87,90,3.36
sao filipe,14.9,75.57,99,44,8.95
upernavik,72.79,24.27,100,88,13.2
murray bridge,-35.12,56.8,86,0,11.97
luderitz,-26.65,60.94,68,8,22.48
chokurdakh,70.62,-9.13,68,56,3.36
vila franca do campo,37.72,57.2,67,20,10.29
westport,53.8,50.0,93,75,13.87
ust-karsk,52.71,1.95,55,48,5.7
barrow,-38.31,56.26,96,36,22.26
lagoa,37.14,64.4,82,20,20.8
esperance,10.24,87.8,66,20,11.41
khandbari,27.38,27.64,69,0,1.57
kiomboi,-4.28,72.87,61,36,7.49
araouane,18.9,74.49,32,56,7.72
khatanga,71.98,4.06,80,88,8.84
puerto ayora,-0.74,78.8,61,20,24.16
natal,-5.81,86.0,55,0,18.34
arraial do cabo,-22.97,80.6,69,20,9.17
songjianghe,42.18,6.94,51,0,5.37
samut prakan,13.6,78.8,88,20,2.24
borisoglebskiy,57.26,33.45,97,92,13.76
yendi,9.45,82.5,57,36,8.05
port moresby,-9.47,75.2,88,40,2.24
jamestown,-33.21,54.46,44,0,6.93
mahebourg,-20.41,73.4,88,40,2.24
georgetown,6.8,87.8,66,75,16.11
madhupur,24.26,54.37,80,0,4.36
qaanaaq,77.48,-3.14,100,20,10.85
kenai,60.55,34.05,88,90,10.29
mar del plata,-46.43,68.1,31,88,4.59
bathsheba,13.22,86.0,66,20,20.8
port elizabeth,39.31,48.85,51,1,10.29
airai,-8.93,68.5,89,32,1.57
constitucion,23.99,66.2,15,90,4.59
kilindoni,-7.91,80.79,100,80,9.17
unai,-16.36,77.32,74,32,7.94
cao bang,22.67,63.1,100,92,3.02
senneterre,48.39,17.6,78,90,8.05
whitianga,-36.83,62.97,100,44,6.15
ahipara,-35.17,62.7,83,68,1.45
havre-saint-pierre,50.23,24.8,79,90,5.82
killin,33.61,66.02,43,1,6.93
carbonear,47.73,33.8,100,90,34.45
les cayes,18.19,82.09,100,20,10.63
leningradskiy,69.38,10.5,100,64,20.13
new port richey,28.24,73.06,46,40,6.93
kita,35.76,51.82,72,90,5.82
akdepe,42.05,23.25,48,0,4.7
dashitou,43.3,10.45,69,12,4.14
kruisfontein,-34.0,59.37,91,0,7.72
atuona,-9.8,80.74,100,8,16.55
colares,38.8,62.6,82,20,12.75
le port,42.87,35.47,95,48,1.68
ajdabiya,30.75,66.57,27,56,10.85
poso,-1.4,77.64,100,36,2.01
kosh-agach,49.99,-17.68,59,0,3.24
hualmay,-11.1,71.79,65,12,7.38
yotsukaido,35.67,49.89,87,20,8.05
kachug,53.96,-10.12,65,44,2.57
tabou,4.42,80.34,100,56,8.39
murgab,37.5,46.4,87,90,4.7
ancud,-41.87,54.1,81,92,8.05
qingyuan,27.62,55.95,97,100,2.13
suhbaatar,50.23,4.47,89,56,4.14
ranong,9.96,80.07,100,44,4.59
lovozero,68.01,31.74,85,68,15.77
sao jose da coroa grande,-8.9,78.76,87,92,10.51
umba,66.69,38.58,86,8,22.7
epe,52.18,35.6,74,0,5.82
ust-ilimsk,57.96,-3.01,73,44,2.46
yar-sale,66.83,15.31,98,92,18.68
shache,38.42,22.83,75,76,2.68
husavik,50.56,14.82,87,0,18.01
hermanus,-34.42,56.44,76,24,6.38
iralaya,15.0,78.8,88,75,16.11
lamu,0.57,71.11,100,0,3.13
vostok,46.45,2.58,63,44,2.13
williams lake,52.13,24.8,79,75,10.29
boyolangu,-8.09,70.3,95,12,3.13
kalmunai,7.42,71.11,100,8,3.02
nemuro,43.32,42.18,100,24,13.65
port macquarie,-31.43,60.8,100,75,4.7
aksarayskiy,46.79,32.0,72,75,8.95
sumter,33.92,62.47,42,1,4.7
lalmohan,22.34,73.72,92,0,5.14
shu,43.6,-4.99,39,8,3.02
yellowknife,62.45,-5.81,76,75,6.93
fortuna,38.18,61.7,82,40,1.12
myaundzha,63.05,-19.03,49,56,2.24
laguna,27.52,80.6,12,5,3.36
bonavista,48.65,36.78,100,92,30.76
torbay,47.66,33.8,100,90,34.45
chamrajnagar,11.92,64.27,96,32,2.57
emet,39.34,33.76,100,92,2.57
tiznit,29.7,62.25,74,68,8.61
san policarpo,12.18,75.61,100,80,2.13
saint anthony,43.97,32.04,58,1,6.38
east london,-33.02,66.39,100,92,9.95
luis correia,-2.88,87.8,52,0,18.34
manono,-7.3,71.56,94,64,3.02
saint-pierre,48.95,42.21,70,0,2.24
henties bay,-22.12,62.34,93,0,5.26
boyuibe,-20.43,93.2,56,20,11.41
algiers,29.94,65.34,35,1,3.36
yura,-16.25,71.6,19,0,12.75
ha tinh,18.33,79.53,100,68,7.83
san quintin,17.54,69.9,82,44,3.36
saint-philippe,45.36,34.45,74,90,13.87
faya,18.39,59.94,82,0,3.36
bredasdorp,-34.53,62.6,55,0,3.36
buala,-8.15,80.88,96,92,3.91
dikson,73.51,8.65,100,76,8.39
bondoukou,8.04,75.93,79,24,10.96
sola,62.78,41.0,75,90,16.11
beringovskiy,63.05,25.53,100,76,24.83
eureka,40.8,51.28,89,40,3.36
moree,-29.46,70.12,59,24,12.19
mount gambier,-37.83,51.76,81,0,4.92
teguise,29.06,68.0,77,20,10.29
kailua,21.39,76.6,76,75,14.99
camacha,33.08,60.03,82,20,24.16
krasnyy chikoy,50.36,-5.21,74,56,1.12
nome,30.04,70.95,49,1,13.87
asmar,35.03,39.12,50,12,2.13
yelizovo,53.19,26.6,100,90,2.24
verkhnevilyuysk,63.45,-13.99,64,0,5.7
mongu,-15.27,77.73,43,68,4.03
beloha,-25.17,70.8,69,0,8.72
oranjemund,-28.55,61.08,92,8,24.94
yantarnyy,54.87,37.4,86,90,6.71
lazaro cardenas,28.39,69.8,21,20,10.29
lichuan,30.3,39.48,100,92,2.57
ambon,47.55,41.0,80,90,24.16
bandarbeyla,9.49,78.72,100,0,14.32
lompoc,34.64,64.09,60,1,4.47
shaowu,27.34,56.22,100,92,0.45
chiang mai,18.79,77.0,83,20,4.7
baghdad,33.3,60.8,82,0,6.93
mocuba,-16.84,77.19,73,20,4.36
prado,-17.34,79.57,93,8,15.21
hofn,64.25,46.72,93,92,14.43
hay river,60.82,1.4,84,90,5.82
talnakh,69.49,7.08,84,68,9.51
mattru,7.62,77.55,87,76,1.45
puerto madero,-34.61,69.19,73,75,5.82
pocone,-16.26,89.29,65,68,7.83
high level,58.52,1.4,84,90,2.24
kitimat,54.02,33.8,89,90,2.24
sao lourenco da serra,-23.85,77.07,73,0,12.75
anadyr,64.73,10.4,85,75,17.9
suifenhe,44.39,7.89,59,0,2.35
necochea,-38.55,60.18,95,44,18.57
formosa,-26.19,96.8,47,40,11.41
saint-augustin,44.83,49.21,100,90,13.87
eston,51.15,17.6,67,20,18.34
butaritari,3.07,84.61,100,48,9.73
thompson,55.74,5.0,77,90,8.05
ternate,14.29,77.0,100,20,3.36
bella vista,-28.51,75.93,96,64,12.41
hasaki,35.73,47.17,87,20,8.05
grafton,-29.69,65.22,94,88,5.26
alofi,-19.06,80.6,69,0,5.82
takoradi,4.89,82.27,98,56,6.15
tombouctou,16.77,73.05,29,0,3.02
faanui,-16.48,81.69,100,68,13.76
port keats,-14.25,72.46,100,68,12.19
shitkino,56.37,4.92,76,64,3.13
padang,-0.92,80.74,100,68,6.49
aguie,13.51,70.17,44,20,6.49
tiarei,-17.53,82.4,78,75,10.29
port lincoln,-34.72,62.11,90,0,13.2
ishigaki,24.34,76.38,100,76,5.14
dumai,1.68,78.85,90,64,3.36
mangrol,25.33,55.09,76,0,2.68
vestmannaeyjar,63.44,48.48,93,100,37.02
carauari,-4.88,88.98,68,36,5.37
zhanakorgan,43.91,8.34,73,0,2.57
sainte-marie,46.45,30.2,86,75,10.29
port-gentil,-0.72,82.4,83,40,11.41
utiel,39.57,60.8,87,40,1.12
zyryanka,65.73,-10.48,72,80,2.35
manokwari,-0.87,82.27,100,92,5.26
haines junction,60.75,17.97,92,100,2.68
kamaishi,39.28,28.81,97,0,3.58
senador guiomard,-10.15,89.6,75,75,9.17
evensk,61.92,5.05,100,32,7.05
svetlogorsk,53.14,28.4,79,90,8.95
san andres,13.32,80.11,100,32,12.3
hirara,24.8,75.3,100,92,10.07
padampur,29.71,60.63,82,44,4.03
palmer,-34.85,64.4,34,0,16.11
hellvik,59.92,35.56,100,0,1.01
naze,5.43,82.4,83,40,2.24
eruwa,7.53,78.94,80,12,7.61
smoky lake,54.11,16.84,80,20,8.16
shingu,33.72,61.12,100,24,8.16
dandong,40.12,20.13,79,0,2.24
bethel,60.79,33.08,100,90,6.93
tateyama,36.66,34.44,100,76,2.35
hilo,19.71,68.94,87,90,5.82
namibe,-15.19,74.04,100,0,4.14
shakiso,5.77,57.97,100,92,2.68
kualakapuas,-3.01,73.95,99,36,1.68
chicama,-7.84,69.8,73,20,13.87
oyek,52.59,-7.61,83,75,6.71
rabo de peixe,37.8,57.2,67,20,10.29
sept-iles,50.2,26.6,86,75,5.82
coihaique,-45.58,57.96,47,75,9.17
qostanay,53.17,23.0,92,40,4.47
kaka,37.35,39.61,88,20,1.9
altamira,-3.2,93.2,46,75,4.7
iqaluit,63.75,-4.01,64,75,2.24
itarema,-2.92,84.52,58,0,18.79
tefe,-3.35,87.8,70,40,11.41
vanavara,60.35,-14.53,64,8,2.68
sena madureira,-9.07,87.45,66,24,2.68
geraldton,49.72,8.6,65,75,11.41
lieksa,63.32,41.82,83,64,12.75
miracatu,-24.28,72.42,74,44,4.92
caravelas,-17.73,79.12,99,48,15.21
castro,-42.48,54.19,80,76,7.72
provideniya,64.42,33.45,100,68,18.34
loncoche,-39.37,60.8,63,0,11.41
north bend,43.41,55.04,77,1,4.7
saldanha,41.42,45.19,91,76,4.25
avera,33.19,63.63,46,1,3.36
makakilo city,21.35,76.66,76,20,4.7
vardo,39.62,45.95,57,1,3.36
tupik,54.43,-9.58,62,56,2.57
petropavlovsk-kamchatskiy,53.05,26.6,100,90,2.24
russell,-33.01,78.8,29,20,9.17
sault sainte marie,46.49,25.34,74,90,12.75
haliyal,15.33,69.09,87,24,3.24
sitka,37.17,37.36,59,68,20.02
najran,17.54,68.0,45,0,4.7
la plata,-34.92,69.8,83,75,9.17
auki,12.18,73.72,38,0,9.95
mecca,21.43,63.24,85,8,2.8
kiunga,-6.12,74.8,93,56,1.9
bourbonnais,41.16,36.45,92,90,8.05
sijunjung,-0.69,69.63,96,80,2.24
port hedland,-20.31,78.8,74,36,3.36
panguna,-6.32,77.73,89,76,3.69
palmas,-10.18,76.2,97,68,4.92
te anau,-45.41,43.39,94,88,7.94
xining,36.62,10.0,75,56,2.13
yulara,-25.24,59.0,72,0,5.82
tynda,55.15,-21.55,58,0,2.91
lyuban,52.8,22.42,72,48,2.91
cabo san lucas,22.89,79.75,41,40,14.99
lodja,-3.52,73.68,93,56,2.35
tarata,-17.47,61.53,30,0,2.91
new iberia,30.0,66.78,50,1,5.82
buritis,-15.62,78.0,77,24,4.92
iglino,54.82,28.4,100,90,8.95
victoria,5.28,75.2,94,75,3.69
golden,51.3,24.8,79,90,3.36
ketchikan,55.34,43.02,88,90,21.92
stettler,52.32,20.04,85,0,5.37
pitimbu,-7.47,82.4,65,75,14.99
qasigiannguit,68.82,21.2,85,40,19.46
sobradinho,-29.41,72.64,90,88,1.9
labuhan,-2.54,72.19,98,36,2.13
ulaangom,49.98,-15.43,55,24,2.46
traralgon,-38.19,56.04,80,0,3.69
kumluca,36.37,39.93,100,92,0.78
bilma,18.69,58.92,33,0,5.48
ahuimanu,21.44,76.62,76,75,14.99
nelson bay,-32.72,66.2,68,40,10.29
tacuarembo,-31.73,69.45,100,100,4.36
nefteyugansk,61.09,8.6,92,90,4.47
kayerkan,69.35,8.92,85,68,8.39
sao joao da barra,-21.64,82.4,58,20,2.24
nizhniy baskunchak,48.22,31.47,56,88,8.72
galesong,-5.32,75.2,100,20,3.36
aklavik,68.22,-2.91,76,75,10.29
wajir,1.75,70.17,98,68,3.69
haicheng,40.85,17.7,67,0,4.36
guadalupe y calvo,26.09,65.04,17,12,2.8
picos,-7.08,94.74,23,12,7.61
luang prabang,19.89,66.84,98,36,1.68
riberalta,-11.0,89.6,66,75,6.93
cidreira,-30.17,78.27,60,80,17.0
emerald,-23.53,75.03,68,44,9.95
de-kastri,51.48,26.34,100,8,24.27
singarayakonda,15.25,75.12,97,100,3.24
ende,-8.84,82.81,100,76,4.36
camabatela,-8.19,65.58,92,44,1.68
isangel,-19.55,74.62,100,68,9.28
rwamagana,-1.95,68.0,82,20,4.7
waupun,43.63,29.93,64,90,8.05
kurumkan,54.33,-11.2,80,44,1.9
dabakala,8.36,79.44,70,12,1.79
teguldet,57.31,-13.13,61,12,2.57
altay,47.83,-0.44,62,64,1.9
la ronge,55.1,6.8,77,40,10.29
carman,49.51,12.2,100,0,12.75
axim,4.87,83.4,98,68,7.94
north platte,41.12,21.2,79,90,11.41
chapais,49.78,17.6,78,90,16.11
santa maria,-29.69,68.0,94,90,6.93
vestmanna,62.16,46.4,87,0,17.22
chernushka,56.5,27.37,93,92,7.94
solginskiy,61.05,34.12,97,68,8.39
luanda,-8.83,78.8,83,20,9.17
adre,13.47,65.44,47,12,5.59
umm kaddadah,13.6,65.17,29,8,11.74
amaigbo,5.78,80.56,78,8,10.63
tecoanapa,16.99,86.0,66,5,6.93
pangoa,-12.12,76.6,85,24,2.01
dingle,11.0,74.13,97,8,9.17
sao miguel do araguaia,-13.28,82.23,89,12,3.13
soe,57.91,42.8,87,0,13.87
muli,22.62,60.67,56,0,1.68
nacimiento,-37.5,66.2,63,75,3.36
fort saint james,54.43,23.5,91,68,3.13
lumphat,13.5,73.23,95,68,1.9
dali,25.6,35.92,100,0,2.57
douglasville,33.75,63.23,41,1,3.91
maceio,-9.67,80.6,74,40,16.11
teya,21.05,82.4,45,40,4.7
madera,36.96,61.65,33,1,4.14
kavieng,-2.57,82.36,100,92,3.36
storm lake,42.64,19.67,85,80,18.34
ozinki,51.2,8.56,52,0,3.69
alice springs,-23.7,66.2,72,56,6.93
abdanan,32.99,39.34,83,0,1.9
robertsport,6.75,81.55,100,44,7.05
pisco,-13.71,71.6,30,0,19.46
businga,3.34,73.14,92,8,1.9
puerto santander,8.35,87.8,55,40,5.82
rincon,32.3,65.59,59,1,4.7
moussoro,13.64,73.9,31,20,7.72
obigarm,38.72,20.8,85,76,1.68
kaseda,31.42,48.2,93,20,1.12
sisimiut,66.94,15.72,100,88,4.59
karratha,-20.74,85.06,23,0,16.89
tabuk,17.41,65.13,97,48,1.68
la asuncion,-1.64,53.65,92,88,1.12
fairbanks,64.84,-0.28,84,1,5.26
podporozhye,60.91,38.04,98,88,11.3
bunia,1.56,61.44,92,12,2.68
praia da vitoria,38.73,55.4,82,20,17.22
sale,53.42,44.87,75,0,10.29
nantucket,41.28,47.71,49,90,10.29
kathmandu,27.71,48.2,93,20,3.36
eyl,7.98,76.51,100,8,10.4
bongouanou,6.65,77.55,84,32,5.37
sakaiminato,35.55,48.2,87,75,2.24
bundaberg,-24.87,71.07,100,92,9.28
guerrero negro,27.97,71.97,50,0,7.94
potsdam,52.4,31.08,76,0,6.93
wageningen,51.98,40.68,74,0,10.29
nabire,-3.36,66.48,93,8,2.91
baculin,7.45,73.72,93,0,7.94
savelugu,9.63,81.1,66,56,6.04
sayat,38.78,41.0,60,90,4.7
waipawa,-39.94,63.69,54,64,12.75
ladario,40.7,56.13,76,92,9.17
lubawa,53.51,22.65,80,0,2.8
matagami,9.67,67.65,73,8,1.57
pilar,-34.46,69.22,77,75,6.93
oksfjord,70.24,37.4,86,88,9.17
chaihe,44.77,0.82,59,0,2.24
gerede,40.8,26.11,80,64,3.58
gubkinskiy,64.43,13.24,83,92,13.2
isla mujeres,21.23,78.8,61,40,10.29
kloulklubed,7.04,78.8,94,90,6.93
quang ngai,15.12,70.39,99,80,1.79
khorixas,-20.37,81.87,31,64,5.26
honiara,-9.43,77.0,88,40,2.8
garoua,9.31,84.2,42,0,3.8
roebourne,-20.77,85.06,23,0,16.89
zhuhai,40.71,26.6,35,0,8.95
ponto novo,-10.86,85.38,34,0,9.84
ginir,7.14,55.09,80,12,2.8
diamantino,-14.4,84.03,76,20,4.7
ampanihy,-24.69,74.35,48,0,6.71
chuy,-33.69,68.77,99,100,12.41
longhua,29.21,48.2,93,90,8.95
tonstad,58.66,39.2,100,90,5.82
terenos,-20.44,82.4,65,75,6.93
xingyi,24.19,55.36,83,0,6.15
itoman,26.12,69.49,87,1,6.93
hailar,49.2,2.89,70,64,4.36
mizan teferi,6.99,61.84,92,80,2.24
muskegon,43.23,34.39,63,90,5.82
jaisalmer,26.91,58.92,86,0,2.8
martapura,-3.41,75.12,100,68,3.02
hovd,63.83,41.94,100,75,2.24
yerbogachen,61.28,-8.09,62,48,3.13
srednekolymsk,67.46,-14.08,65,56,2.57
pucallpa,-8.38,87.8,66,75,6.93
skibbereen,51.55,48.2,93,75,16.11
jaca,42.57,51.8,87,92,4.7
aykhal,65.95,-23.21,32,32,2.68
harper,30.3,69.62,44,1,9.17
inhambane,-23.87,78.8,83,0,11.41
waverly,37.04,53.06,50,1,1.68
callaguip,18.07,71.7,100,0,4.03
chunskiy,56.08,3.16,81,56,3.13
albanel,48.88,26.6,63,75,13.87
kharp,66.82,13.87,86,92,19.01
muros,42.77,57.2,71,0,8.05
pudozh,61.81,36.82,94,80,9.17
paamiut,61.99,33.31,99,24,37.47
barentu,15.11,60.99,88,0,2.46
hays,38.88,29.21,86,90,24.16
bibiani,6.45,74.62,93,12,3.69
coquimbo,-29.95,68.0,64,0,20.8
boueni,-12.9,80.6,78,0,4.7
dunedin,-45.87,50.59,100,56,4.7
olinda,-2.03,86.0,55,40,4.7
chengdu,30.68,46.4,93,40,4.47
awbari,26.59,80.97,20,92,15.43
rabaul,-4.2,74.13,100,92,5.14
goderich,43.74,35.2,90,88,11.41
mango,44.69,46.76,43,0,10.29
rovinj,45.08,44.74,56,0,28.86
kouroussa,10.65,77.05,76,48,9.95
ondjiva,-17.07,82.68,14,92,9.73
dunda,30.62,30.48,68,48,1.9
ambilobe,-13.19,76.02,65,12,10.74
caarapo,-22.63,86.37,62,56,8.84
motygino,58.18,4.51,100,64,3.47
moyale,3.52,66.39,89,44,2.91
palora,-1.7,69.04,96,76,3.02
wajima,37.4,48.48,100,56,6.38
monte siao,-22.43,75.2,78,75,10.29
wuxi,31.58,48.57,100,92,9.4
biltine,14.53,69.18,38,0,6.38
timmins,48.48,14.0,61,90,10.29
keelung,25.13,70.75,94,75,3.36
richards bay,-28.77,69.04,85,92,12.3
blagoveshchensk,50.29,15.8,61,0,4.47
metro,-5.11,78.09,99,32,3.91
parrita,9.52,82.42,57,20,10.29
gamboma,-1.87,76.74,88,80,4.03
daru,7.99,70.66,99,64,3.36
batagay-alyta,67.8,-35.95,0,8,2.68
teeli,51.01,-12.64,48,44,1.79
chontaul,43.3,36.91,90,48,9.84
milyutinskaya,48.63,18.87,65,36,5.82
muyezerskiy,63.93,39.3,89,48,13.42
bocaiuva,-17.12,76.6,65,80,8.84
balikpapan,-1.24,77.0,94,40,5.82
solnechnyy,50.72,2.94,65,0,3.47
melfi,41.0,33.8,86,90,18.34
usinsk,66.0,30.97,97,92,9.4
turan,52.15,-11.92,67,44,1.12
ambulu,-8.35,78.45,100,80,2.8
hambantota,6.12,76.87,100,80,7.49
san jose,15.79,70.53,98,76,1.9
yaita,36.8,34.66,93,12,3.13
yatou,3.63,80.6,94,40,10.96
escanaba,45.75,28.04,52,90,10.29
gat,14.69,76.42,71,80,14.65
kapit,2.02,71.52,99,100,2.57
lincoln,53.23,43.0,93,0,8.05
alugan,12.22,75.61,100,80,2.13
noumea,-22.28,66.2,82,0,6.71
ferrol,43.48,57.2,76,0,4.7
